Index,Rank,Title,Director,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
0,1,Guardians of the Galaxy,James Gunn,2014,121,8.1,757074,333.13,76.0
1,2,Prometheus,Ridley Scott,2012,124,7.0,485820,126.46,65.0
2,3,Split,M. Night Shyamalan,2016,117,7.3,157606,138.12,62.0
3,4,Sing,Christophe Lourdelet,2016,108,7.2,60545,270.32,59.0
4,5,Suicide Squad,David Ayer,2016,123,6.2,393727,325.02,40.0
5,6,The Great Wall,Yimou Zhang,2016,103,6.1,56036,45.13,42.0
6,7,La La Land,Damien Chazelle,2016,128,8.3,258682,151.06,93.0
7,8,Mindhorn,Sean Foley,2016,89,6.4,2490,0.0,71.0
8,9,The Lost City of Z,James Gray,2016,141,7.1,7188,8.01,78.0
9,10,Passengers,Morten Tyldum,2016,116,7.0,192177,100.01,41.0
10,11,Fantastic Beasts and Where to Find Them,David Yates,2016,133,7.5,232072,234.02,66.0
11,12,Hidden Figures,Theodore Melfi,2016,127,7.8,93103,169.27,74.0
12,13,Rogue One,Gareth Edwards,2016,133,7.9,323118,532.17,65.0
13,14,Moana,Ron Clements,2016,107,7.7,118151,248.75,81.0
14,15,Colossal,Nacho Vigalondo,2016,109,6.4,8612,2.87,70.0
15,16,The Secret Life of Pets,Chris Renaud,2016,87,6.6,120259,368.31,61.0
16,17,Hacksaw Ridge,Mel Gibson,2016,139,8.2,211760,67.12,71.0
17,18,Jason Bourne,Paul Greengrass,2016,123,6.7,150823,162.16,58.0
18,19,Lion,Garth Davis,2016,118,8.1,102061,51.69,69.0
19,20,Arrival,Denis Villeneuve,2016,116,8.0,340798,100.5,81.0
20,21,Gold,Stephen Gaghan,2016,120,6.7,19053,7.22,49.0
21,22,Manchester by the Sea,Kenneth Lonergan,2016,137,7.9,134213,47.7,96.0
22,23,Hounds of Love,Ben Young,2016,108,6.7,1115,72.0,0.0
23,24,Trolls,Walt Dohrn,2016,92,6.5,38552,153.69,0.0
24,25,Independence Day: Resurgence,Roland Emmerich,2016,120,5.3,127553,103.14,0.0
25,26,Paris pieds nus,Dominique Abel,2016,83,6.8,222,0.0,0.0
26,27,Bahubali: The Beginning,S.S. Rajamouli,2015,159,8.3,76193,6.5,0.0
27,28,Dead Awake,Phillip Guzman,2016,99,4.7,523,0.01,0.0
28,29,Bad Moms,Jon Lucas,2016,100,6.2,66540,113.08,60.0
29,30,Assassin's Creed,Justin Kurzel,2016,115,5.9,112813,54.65,36.0
30,31,Why Him?,John Hamburg,2016,111,6.3,48123,60.31,39.0
31,32,Nocturnal Animals,Tom Ford,2016,116,7.5,126030,10.64,67.0
32,33,X-Men: Apocalypse,Bryan Singer,2016,144,7.1,275510,155.33,52.0
33,34,Deadpool,Tim Miller,2016,108,8.0,627797,363.02,65.0
34,35,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,107,5.6,46165,26.84,49.0
35,36,Captain America: Civil War,Anthony Russo,2016,147,7.9,411656,408.08,75.0
36,37,Interstellar,Christopher Nolan,2014,169,8.6,1047747,187.99,74.0
37,38,Doctor Strange,Scott Derrickson,2016,115,7.6,293732,232.6,72.0
38,39,The Magnificent Seven,Antoine Fuqua,2016,132,6.9,122853,93.38,54.0
39,40,5- 25- 77,Patrick Read Johnson,2007,113,7.1,241,0.0,0.0
40,41,Sausage Party,Greg Tiernan,2016,89,6.3,120690,97.66,66.0
41,42,Moonlight,Barry Jenkins,2016,111,7.5,135095,27.85,99.0
42,43,Don't Fuck in the Woods,Shawn Burkett,2016,73,2.7,496,0.0,0.0
43,44,The Founder,John Lee Hancock,2016,115,7.2,37033,12.79,66.0
44,45,Lowriders,Ricardo de Montreuil,2016,99,6.3,279,4.21,57.0
45,46,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,136,6.7,395025,241.06,45.0
46,47,Miss Sloane,John Madden,2016,132,7.3,17818,3.44,64.0
47,48,Fallen,Scott Hicks,2016,91,5.6,5103,0.0,0.0
48,49,Star Trek Beyond,Justin Lin,2016,122,7.1,164567,158.8,68.0
49,50,The Last Face,Sean Penn,2016,130,3.7,987,0.0,16.0
50,51,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015,136,8.1,661608,936.63,81.0
51,52,Underworld: Blood Wars,Anna Foerster,2016,91,5.8,41362,30.35,23.0
52,53,Mother's Day,Garry Marshall,2016,118,5.6,20221,32.46,18.0
53,54,John Wick,Chad Stahelski,2014,101,7.2,321933,43.0,68.0
54,55,The Dark Knight,Christopher Nolan,2008,152,9.0,1791916,533.32,82.0
55,56,Silence,Martin Scorsese,2016,161,7.3,49190,7.08,79.0
56,57,Don't Breathe,Fede Alvarez,2016,88,7.2,121103,89.21,71.0
57,58,Me Before You,Thea Sharrock,2016,106,7.4,113322,56.23,51.0
58,59,Their Finest,Lone Scherfig,2016,117,7.0,3739,3.18,76.0
59,60,Sully,Clint Eastwood,2016,96,7.5,137608,125.07,74.0
60,61,Batman v Superman: Dawn of Justice,Zack Snyder,2016,151,6.7,472307,330.25,44.0
61,62,The Autopsy of Jane Doe,André Øvredal,2016,86,6.8,35870,0.0,65.0
